PARTICIPANT_ID;PARTICIPANT_TZ;STUDY_ID;STUDY_NAME;STUDY_VERSION;SURVEY_ID;SURVEY_NAME;TRIGGER;EXPORT_TZ;START_END;CREATED_TS;SCHEDULED_TS;STARTED_TS;COMPLETED_TS;EXPIRED_TS;UPLOADED_TS;Perf_T;Perf_M;PXX2;Roll1;Roll12;Roll13;Sammarbete1;Sammarbete2;Sammarbete3;SX4;Sammarbete4;PT1;PT2;PT3;PT4;PT5;PT6;PT7;FBS;AUTONOMI;KOMPETENS;TILLIT;ÖVRIGT;W
s632395026;Europe/Stockholm;XC3Y_56g8;Delat ledarskap i basketlandslagen;25;_QcJAKsg_;Mätning innan läger;Participant Triggered (completed at any time);Europe/Stockholm;1;6/15/2022 8:31:00; ;6/15/2022 8:31:00;15-Jun-2022 08:33; ;6/15/2022 8:33:00;5;NEJ;<not-shown>;5;5;5;5;5;4;NEJ;<not-shown>;1;3;1;3;1;5;4; ;4;4;4;Nej;Nej
s632395026;Europe/Stockholm;XC3Y_56g8;Delat ledarskap i basketlandslagen;21;_QcJAKsg_;Mätning innan läger;Participant Triggered (completed at any time);Europe/Stockholm;1;6/14/2022 20:29:00; ;6/14/2022 20:29:00; ; ;6/14/2022 20:30:00;4;JA;4;4;4;4;4;4;4;JA;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>
s691725724;local;XC3Y_56g8;Delat ledarskap i basketlandslagen;25;_QcJAKsg_;Mätning innan läger;Participant Triggered (completed at any time);Europe/Stockholm;1;6/15/2022 8:20:00; ;6/15/2022 8:20:00;15-Jun-2022 08:28; ;6/15/2022 8:28:00;4;NEJ;<not-shown>;5;5;5;4;4;5;NEJ;<not-shown>;1;5;1;4;1;5;4; ;4;4;4;Nej;Nej
s704011544;local;XC3Y_56g8;Delat ledarskap i basketlandslagen;21;_QcJAKsg_;Mätning innan läger;Participant Triggered (completed at any time);Europe/Stockholm;1;6/14/2022 15:53:00; ;6/14/2022 15:53:00;14-Jun-2022 15:57; ;6/14/2022 15:57:00;4;NEJ;<not-shown>;4;4;4;4;3;4;NEJ;<not-shown>;2;4;1;3;1;3;4; ;4;4;4;Nej;Nej
s839823061;local;XC3Y_56g8;Delat ledarskap i basketlandslagen;25;_QcJAKsg_;Mätning innan läger;Participant Triggered (completed at any time);Europe/Stockholm;1;6/14/2022 21:27:00; ;6/14/2022 21:27:00;14-Jun-2022 21:29; ;6/14/2022 21:29:00;3;JA;3;1;2;2;1;3;3;JA;2;4;1;3;1;4;3;1; ;2;3;1; ; 
s867750837;local;XC3Y_56g8;Delat ledarskap i basketlandslagen;21;_QcJAKsg_;Mätning innan läger;Participant Triggered (completed at any time);Europe/Stockholm;1;6/14/2022 16:03:00; ;6/14/2022 16:03:00;14-Jun-2022 16:06; ;6/14/2022 16:06:00;3;NEJ;<not-shown>;4;5;4;4;4;5;NEJ;<not-shown>;1;3;1;4;2;5;4; ;4;4;5;Nej;Nej
s876443028;Europe/Stockholm;XC3Y_56g8;Delat ledarskap i basketlandslagen;25;_QcJAKsg_;Mätning innan läger;Participant Triggered (completed at any time);Europe/Stockholm;1;6/15/2022 9:59:00; ;6/15/2022 9:59:00;15-Jun-2022 10:02; ;6/15/2022 10:02:00;5;NEJ;<not-shown>;3;3;3;4;3;3;NEJ;<not-shown>;2;4;1;3;1;1;4; ;4;4;5;nej;nej
s923383536;Europe/Stockholm;XC3Y_56g8;Delat ledarskap i basketlandslagen;25;_QcJAKsg_;Mätning innan läger;Participant Triggered (completed at any time);Europe/Stockholm;1;6/15/2022 9:59:00; ;6/15/2022 9:59:00;15-Jun-2022 10:02; ;6/15/2022 10:02:00;3;NEJ;<not-shown>;3;4;4;4;4;4;NEJ;<not-shown>;1;4;1;4;1;3;3; ;4;4;4;Nej;Nej
s979517396;local;XC3Y_56g8;Delat ledarskap i basketlandslagen;25;_QcJAKsg_;Mätning innan läger;Participant Triggered (completed at any time);Europe/Stockholm;1;6/14/2022 23:24:00; ;6/14/2022 23:24:00;14-Jun-2022 23:34; ;6/14/2022 23:34:00;2;NEJ;<not-shown>;3;3;3;4;4;4;NEJ;<not-shown>;2;4;4;4;1;4;3; ;3;3;4;Nej;Nej
s979517396;local;XC3Y_56g8;Delat ledarskap i basketlandslagen;25;_QcJAKsg_;Mätning innan läger;Participant Triggered (completed at any time);Europe/Stockholm;1;6/15/2022 8:20:00; ;6/15/2022 8:20:00; ; ;6/15/2022 8:20:00;3;NEJ;<not-shown>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>
