season,participant_id,staff,time,coach_nr_years_head,coach_nr_years_head_alone,coach_nr_years_head_with_ass,coach_nr_years_ass,coach_nr_years_shared_leadership,personality_neurotism,personality_extrovert,personality_openness,personality_agreeableness,personality_conscientiousness,transformational_leadership,shared_leadership_model,shared_leadership_collaboration,shared_leadership_roles,psych_safety,personality_neurotism_1,personality_neurotism_2,personality_neurotism_3,personality_extrovert_1,personality_extrovert_2,personality_extrovert_3,personality_openness_1,personality_openness_2,personality_openness_3,personality_agreeableness_1,personality_agreeableness_2,personality_agreeableness_3,personality_conscientiousness_1,personality_conscientiousness_2,personality_conscientiousness_3,transformational_leadership_1,transformational_leadership_2,transformational_leadership_3,transformational_leadership_4,transformational_leadership_5,transformational_leadership_6,transformational_leadership_7,shared_leadership_1,shared_leadership_2,shared_leadership_3,shared_leadership_4,shared_leadership_5,shared_leadership_6,shared_leadership_7,shared_leadership_8,shared_leadership_9,performance_training,performance_game,role_1,role_2,role_3,collaboration_1,collaboration_2,collaboration_3,collaboration_4,psych_safety_1,psych_safety_2,psych_safety_3,psych_safety_4,psych_safety_5,psych_safety_6,psych_safety_7,basic_needs_autonomy,basic_needs_competence,basic_needs_relatedness,participate_last_year,contact_pre,contact_post,general_experience,performance_collaboration
2023,KVU20,HU20,pre,9,8,1,2,1,3.3333333333333335,5.666666666666667,4.666666666666667,5,5.666666666666667,4.428571428571429,4.2,4.733333333333333,3.9333333333333336,4.571428571428571,4,2,4,6,6,5,5,5,4,5,3,7,6,6,5,4,5,5,5,4,4,4,4.2,4.2,4.2,5,5,4.2,2.6,4.2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,5,5,5,5,3,4,4,5,Ja,7,NA,NA,NA
2023,KVU20,HU20,post,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.142857142857143,4.2,5,4.2,4.428571428571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,5,4,3,4,4,4.2,4.2,4.2,5,5,5,4.2,4.2,4.2,4,5,NA,NA,NA,NA,NA,NA,NA,4,5,5,4,4,5,4,3,4,5,NA,NA,0,4,9
2023,HLU20,HU20,pre,18,6,6,12,1,2.6666666666666665,3.6666666666666665,3.6666666666666665,6.333333333333333,5.333333333333333,3.857142857142857,3.4000000000000004,5,4.733333333333333,4.857142857142857,1,1,6,4,5,2,4,2,5,6,6,7,6,6,4,5,4,4,4,3,3,4,4.2,2.6,3.4000000000000004,5,5,5,4.2,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,4,5,5,5,4,5,5,Ja,10,NA,NA,NA
2023,HLU20,HU20,post,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7142857142857144,3.1333333333333333,4.733333333333333,3.9333333333333336,4.428571428571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,3,3,4,4,3.4000000000000004,2.6,3.4000000000000004,5,5,4.2,3.4000000000000004,4.2,4.2,4,4,NA,NA,NA,NA,NA,NA,NA,4,5,5,4,4,5,4,4,4,5,NA,NA,8,4,9
2023,PNU20,HU20,pre,20,8,12,6,1,2,5.666666666666667,3.6666666666666665,5.333333333333333,5,3.5714285714285716,3.4000000000000004,4.466666666666666,3.9333333333333336,4.571428571428571,2,2,2,5,6,6,5,3,3,4,6,6,5,4,6,3,4,4,3,3,4,4,3.4000000000000004,3.4000000000000004,3.4000000000000004,4.2,5,4.2,3.4000000000000004,4.2,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,5,4,5,5,5,5,4,5,Ja,20,NA,NA,NA
2023,PNU20,HU20,post,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2.6,4.466666666666666,3.9333333333333336,4.428571428571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,4,2.6,2.6,2.6,4.2,5,4.2,3.4000000000000004,4.2,4.2,3,4,NA,NA,NA,NA,NA,NA,NA,4,4,5,4,5,5,4,4,4,5,NA,NA,10,4,8
2023,WBHU16,HU16,pre,11,7,2,5,1,2.3333333333333335,4,3,5.666666666666667,4.333333333333333,3.2857142857142856,3.4,5,4.466666666666666,4.142857142857143,2,2,3,3,4,5,3,3,3,5,6,6,5,4,4,3,4,3,3,4,2,4,2.6,3.4000000000000004,4.2,5,5,5,4.2,5,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,3,5,5,4,4,5,5,Ja,100,NA,NA,NA
2023,WBHU16,HU16,post,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5714285714285716,3.6666666666666665,4.2,4.2,4.428571428571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,4,3,4,3,4.2,3.4000000000000004,3.4000000000000004,4.2,4.2,4.2,4.2,4.2,4.2,3,3,NA,NA,NA,NA,NA,NA,NA,4,4,5,4,5,5,4,4,5,5,NA,NA,25,4,10
2023,EUHU16,HU16,pre,11,6,2,8,7,1.3333333333333333,6.333333333333333,5.333333333333333,4.666666666666667,6.666666666666667,4.428571428571429,3.9333333333333336,5,5,4.428571428571429,2,1,1,7,7,5,7,2,7,2,5,7,7,6,7,4,5,5,5,4,3,5,4.2,2.6,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,2,4,3,5,5,Ja,100,NA,NA,NA
2023,EUHU16,HU16,post,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.714285714285714,4.2,3.9333333333333336,3.4,3.857142857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,4,4,5,5,4.2,5,3.4000000000000004,4.2,4.2,3.4000000000000004,5,2.6,2.6,2,3,NA,NA,NA,NA,NA,NA,NA,5,5,2,5,5,3,2,2,3,3,NA,NA,50,4,9
